Date,Year,Open,High,Low,Close,Volume,Adj Close
03-06-2020,2020,59.20800018,59.86266708,58.67333221,58.86399841,119242500,58.86399841
04-06-2020,2020,59.32533264,59.71666718,57.22933197,57.62533188,133315500,57.62533188
05-06-2020,2020,58.52266693,59.10133362,57.74666595,59.04399872,117178500,59.04399872
08-06-2020,2020,61.26666641,63.33333206,60.61066818,63.32799911,212620500,63.32799911
09-06-2020,2020,62.6673317,63.6293335,61.5953331,62.71133423,170823000,62.71133423
10-06-2020,2020,66.12533569,68.49866486,65.5,68.33666992,278451000,68.33666992
11-06-2020,2020,66.01333618,67.93066406,64.80000305,64.85600281,238747500,64.85600281
12-06-2020,2020,65.33333588,65.86533356,60.84000015,62.35200119,251451000,62.35200119
15-06-2020,2020,61.18600082,66.58933258,60.56666565,66.05999756,235458000,66.05999756
16-06-2020,2020,67.45666504,67.52532959,64.15933228,65.47533417,210766500,65.47533417
17-06-2020,2020,65.84733582,67,65.50466919,66.11933136,148362000,66.11933136
18-06-2020,2020,66.8666687,67.94667053,66.29799652,66.93066406,146278500,66.93066406
19-06-2020,2020,67.51866913,67.73133087,66.08933258,66.72666931,130195500,66.72666931
22-06-2020,2020,66.66333008,67.25866699,66.00133514,66.28800201,95436000,66.28800201
23-06-2020,2020,66.59200287,67.46666718,66.26733398,66.78533173,95479500,66.78533173
24-06-2020,2020,66.27400208,66.72533417,63.54266739,64.05666351,164394000,64.05666351
25-06-2020,2020,63.61800003,65.73200226,62.4766655,65.73200226,138817500,65.73200226
26-06-2020,2020,66.31866455,66.33333588,63.65800095,63.98266602,132823500,63.98266602
29-06-2020,2020,64.60066986,67.33333588,63.23466873,67.29000092,135396000,67.29000092
30-06-2020,2020,67.09999847,72.51266479,66.91533661,71.98733521,253777500,71.98733521
01-07-2020,2020,72.19999695,75.6886673,72.03333282,74.64199829,199903500,74.64199829
02-07-2020,2020,81.43199921,81.8666687,79.04000092,80.57733154,258751500,80.57733154
06-07-2020,2020,85.11266327,91.85266876,84.40266418,91.4386673,308548500,91.4386673
07-07-2020,2020,93.66733551,95.30000305,89.11399841,92.65733337,322345500,92.65733337
08-07-2020,2020,93.66666412,94.48400116,87.42266846,91.05867004,244669500,91.05867004
09-07-2020,2020,93.13266754,93.90399933,90.08533478,92.95200348,175764000,92.95200348
10-07-2020,2020,93.06666565,103.2613297,91.73400116,102.9766693,350064000,102.9766693
13-07-2020,2020,110.5999985,119.6660004,98.0739975,99.80400085,584781000,99.80400085
14-07-2020,2020,103.7333298,106,95.40000153,101.1200027,351271500,101.1200027
15-07-2020,2020,102.8666687,103.3333359,97.1333313,103.0673294,245517000,103.0673294
16-07-2020,2020,98.47733307,102.1139984,97.73332977,100.0426636,214512000,100.0426636
17-07-2020,2020,100.8966675,102.5006638,99.33333588,100.0559998,139950000,100.0559998
20-07-2020,2020,101.267334,110,99.19999695,109.5333328,256821000,109.5333328
21-07-2020,2020,109.3286667,111.6666641,103.8666687,104.5573349,241608000,104.5573349
22-07-2020,2020,106.5999985,108.4280014,104.1333313,106.1553345,212416500,106.1553345
23-07-2020,2020,111.9300003,112.5999985,98.71800232,100.8713303,364927500,100.8713303
24-07-2020,2020,94.40066528,97.66666412,91.10266876,94.46666718,290949000,94.46666718
27-07-2020,2020,95.66666412,103.1959991,94.19999695,102.6399994,240730500,102.6399994
28-07-2020,2020,100.2666702,104.3133316,98.2946701,98.43267059,237130500,98.43267059
29-07-2020,2020,100.0666656,102.3206635,99.1333313,99.9406662,141403500,99.9406662
30-07-2020,2020,99.19999695,100.8826675,98.06666565,99.16600037,114315000,99.16600037
31-07-2020,2020,101,101.1366653,94.73200226,95.38400269,183123000,95.38400269
03-08-2020,2020,96.61333466,100.6539993,96.29199982,99,132139500,99
04-08-2020,2020,99.66733551,101.8273315,97.46666718,99.1333313,126225000,99.1333313
05-08-2020,2020,99.53266907,99.98933411,97.88733673,99.00133514,74217000,99.00133514
06-08-2020,2020,99.38866425,101.1539993,98.48400116,99.305336,89884500,99.305336
07-08-2020,2020,99.96932983,99.98332977,94.33399963,96.84733582,133446000,96.84733582
10-08-2020,2020,96.53333282,97.16666412,92.38933563,94.57133484,112834500,94.57133484
11-08-2020,2020,93.06666565,94.66666412,91,91.62599945,129387000,91.62599945
12-08-2020,2020,98,105.6666641,95.66666412,103.6506653,327441000,103.6506653
13-08-2020,2020,107.4000015,110.0786667,104.4840012,108.0666656,306379500,108.0666656
14-08-2020,2020,110.9993362,111.253334,108.4426651,110.0473328,188664000,110.0473328
17-08-2020,2020,111.8000031,123.0573349,111.5220032,122.3759995,303634500,122.3759995
18-08-2020,2020,126.5993347,128.2599945,123.0073318,125.8059998,247117500,125.8059998
19-08-2020,2020,124.3333359,127.4000015,122.7473297,125.2353363,183079500,125.2353363
20-08-2020,2020,124.0453339,134.7993317,123.8040009,133.4553375,309177000,133.4553375
21-08-2020,2020,136.317337,139.6993256,135.0033264,136.665329,322344000,136.665329
24-08-2020,2020,141.7519989,141.9333344,128.5013275,134.2799988,300954000,134.2799988
25-08-2020,2020,131.6593323,135.1966705,131.1999969,134.889328,159883500,134.889328
26-08-2020,2020,137.3333282,144.3999939,136.9086609,143.5446625,213591000,143.5446625
27-08-2020,2020,145.3639984,153.0399933,142.8333282,149.25,355395000,149.25
28-08-2020,2020,153.0079956,154.5659943,145.7680054,147.5599976,301218000,147.5599976
31-08-2020,2020,148.2033386,166.7133331,146.7033386,166.1066742,355123200,166.1066742
01-09-2020,2020,167.3800049,167.4966736,156.8366699,158.3500061,269523300,158.3500061
02-09-2020,2020,159.6633301,159.6799927,135.0399933,149.1233368,288528300,149.1233368
